Id,Family,Tribe,Genus,Subgenus,"Specific epithet ",Scientific name authorship,Body size class,"ITDmeasured ",Mhd,Thd,Mfd,Mcd,Location of measured specimen,Known distribution,"New record ",Locality,"Crop pollinator ",Sociality,Nest location,Level,"Ref. "
119,Megachilidae,Anthidiini,Epanthidium,NA,tigrinum,"Schrottky, 1905",medium,2.6,1.0532,0.49144,1.55624,1.42756,UFMG,"Argentina (Misiones); Bolivia; Brazil (Bahia, Goiás, Maranhão, Mato Grosso do Sul, Paraná, Paraíba, Rio Grande do Sul, São Paulo); Paraguay",yes,canaa dos carajas,no,Solitary,cavity,species,"Aguiar, A. J. C. & Martins, C. F. (2002) Abelhas e vespas solitárias em ninhos-armadilha na Reserva Biológica Guaribas (Mamanguape, Paraíba, Brasil). Revta bras. Zool. 19: 101 - 116."
120,Megachilidae,Anthidiini,Epanthidium,NA,tigrinum,"Schrottky, 1905",medium,2.6,1.0532,0.49144,1.55624,1.42756,UFMG,"Argentina (Misiones); Bolivia; Brazil (Bahia, Goiás, Maranhão, Mato Grosso do Sul, Paraná, Paraíba, Rio Grande do Sul, São Paulo); Paraguay",yes,nova lima,no,Solitary,cavity,species,"Aguiar, A. J. C. & Martins, C. F. (2002) Abelhas e vespas solitárias em ninhos-armadilha na Reserva Biológica Guaribas (Mamanguape, Paraíba, Brasil). Revta bras. Zool. 19: 101 - 116."
121,Apidae,Centridini,Epicharis,Anepicharis,dejeanii,"Lepeletier, 1841",large,5.5,13.1338,5.58443,8.81306,11.54232,UFMG,"Brazil (Amazonas, Espírito Santo, Goiás, Mato Grosso, Paraná, Pará, Rio Grande do Sul, Rio de Janeiro, Rondônia, Santa Catarina, São Paulo); French Guiana",yes,nova lima,no,Solitary,soil,species,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
122,Apidae,Centridini,Epicharis,Epicharana,flava,"Friese, 1900",large,5.3,12.1872,5.19623,8.37149,10.84888,MPEG,"Brazil (Acre, Amazonas, Bahia, Ceará, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraná, Paraíba, Pernambuco, Rio Grande do Sul, Rio de Janeiro, Rondônia, Santa Catarina, São Paulo); Colombia; French Guiana; Panama; Paraguay; Peru; Trinidad and Tobago; Venezuela",yes,carajas,yes,Solitary,soil,species,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
123,Apidae,Centridini,Epicharis,Epicharis,bicolor,"Smith, 1854",large,4.2,5.34416,2.34884,4.75095,5.48074,UFMG,"Brazil (Amapá, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Roraima, São Paulo, Tocantins); French Guiana; Guyana",no,nova lima,yes,Solitary,soil,subgenus,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
124,Apidae,Centridini,Epicharis,Epicharoides,albofasciata,"Smith, 1974",large,3.9,4.23178,1.87599,4.04699,4.5174,UFMG,"Brazil (Amazonas, Bahia, Espírito Santo, Mato Grosso, Minas Gerais, Pará, São Paulo, Tocantins); Costa Rica (Guanacaste, Heredia); Guyana; Panama(Panamá); Venezuela",no,carajas,yes,Solitary,soil,species,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
125,Apidae,Centridini,Epicharis,Hoplepicharis,affinis,"Smith, 1974",large,4.7,8.04431,3.48273,6.29257,7.69042,UFMG,"Bolivia; Brazil (Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Mato Grosso do Sul, Minas Gerais, Pará, Rio de Janeiro, Santa Catarina, São Paulo); French Guiana; Guyana; Paraguay; Venezuela",no,carajas,yes,Solitary,soil,subgenus,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
126,Apidae,Centridini,Epicharis,Hoplepicharis,affinis,"Smith, 1974",large,4.7,8.04431,3.48273,6.29257,7.69042,UFMG,"Bolivia; Brazil (Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Mato Grosso do Sul, Minas Gerais, Pará, Rio de Janeiro, Santa Catarina, São Paulo); French Guiana; Guyana; Paraguay; Venezuela",no,canaa dos carajas,yes,Solitary,soil,subgenus,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
127,Apidae,Centridini,Epicharis,Triepicharis,analis,Lepeletier 1841,large,6.1,18.65533,7.83026,11.21655,15.43596,UFMG,"Brazil (Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Minas Gerais, Paraná, Pará, Piauí, Rio de Janeiro, Rondônia, Santa Catarina, São Paulo); French Guiana; Paraguay; Uruguay (Montevideo)",no,nova lima,yes,Solitary,soil,species,"Gaglianone, M. C. (2005) Nesting biology, seasonality, and flower hosts of Epicharis nigrita (Friese, 1900) (Hymenoptera: Apidae: Centridini), with a comparative analysis for the genus. Studies on Neotropical Fauna and Environment 40(3): 191-200."
128,Apidae,Euglossini,Eufriesea,NA,auriceps,"Friese, 1899",large,5.2,11.28961,4.82712,7.94277,10.18276,UFMG,"Argentina (Misiones); Brazil (Espírito Santo, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo, Tocantins); Paraguay",yes,canaa dos carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
129,Apidae,Euglossini,Eufriesea,NA,auriceps,"Friese, 1899",large,5.2,11.28961,4.82712,7.94277,10.18276,UFMG,"Argentina (Misiones); Brazil (Espírito Santo, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo, Tocantins); Paraguay",yes,nova lima,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
130,Apidae,Euglossini,Eufriesea,NA,concava,"Friese, 1899",large,5.7,15.36014,6.49349,9.81425,13.14075,MPEG,"Brazil (Bahia, Pará); Costa Rica (Guanacaste, Heredia, Puntarenas); Guatemala (Santa Rosa); Mexico (Morelos, Nayarit, Oaxaca, San Luis Potosi, Veracruz); Nicaragua; Panama (Chiriquí, Coclé, Panamá); Peru; Trinidad and Tobago; Venezuela(Aragua)",no,canaa dos carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
131,Apidae,Euglossini,Eufriesea,NA,concava,"Friese, 1899",large,5.7,15.36014,6.49349,9.81425,13.14075,MPEG,"Brazil (Bahia, Pará); Costa Rica (Guanacaste, Heredia, Puntarenas); Guatemala (Santa Rosa); Mexico (Morelos, Nayarit, Oaxaca, San Luis Potosi, Veracruz); Nicaragua; Panama (Chiriquí, Coclé, Panamá); Peru; Trinidad and Tobago; Venezuela(Aragua)",no,bocaina,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
132,Apidae,Euglossini,Eufriesea,NA,concava,"Friese, 1899",large,5.7,15.36014,6.49349,9.81425,13.14075,MPEG,"Brazil (Bahia, Pará); Costa Rica (Guanacaste, Heredia, Puntarenas); Guatemala (Santa Rosa); Mexico (Morelos, Nayarit, Oaxaca, San Luis Potosi, Veracruz); Nicaragua; Panama (Chiriquí, Coclé, Panamá); Peru; Trinidad and Tobago; Venezuela(Aragua)",no,carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
133,Apidae,Euglossini,Eufriesea,NA,eburneocincta,"Kimsey, 1977",large,5.7,14.95716,6.32932,9.63658,12.85455,UFMG,Guyana; Venezuela (Bolívar),yes,carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
134,Apidae,Euglossini,Eufriesea,NA,flaviventris,"Friese, 1899",large,5.4,12.91913,5.49649,8.71382,11.38584,MPEG,"Brazil (Amazonas, Pará); Guyana; Peru (Huánuco, Loreto, San Martín); Suriname (Brokopondo); Venezuela",yes,carajas,yes,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
135,Apidae,Euglossini,Eufriesea,NA,fuscatra,"Moure, 1999",large,5.3,11.88263,5.0711,8.22716,10.62383,UFMG,"Brazil (Pará, Tocantins)",no,canaa dos carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
136,Apidae,Euglossini,Eufriesea,NA,nigrohirta,"Friese, 1899",large,4.8,8.51252,3.67777,6.54201,8.05936,UFMG,"Brazil (Bahia, Minas Gerais)",no,nova lima,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
137,Apidae,Euglossini,Eufriesea,NA,ornata,"Mocsáry, 1896",large,6.8,27.49318,11.37611,14.64175,21.2831,MPEG,"Bolivia (El Beni); Brazil (Amazonas, Bahia, Espírito Santo, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio de Janeiro); Colombia (Meta); Costa Rica; Ecuador; Panama; Peru (Loreto); Venezuela",no,canaa dos carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
138,Apidae,Euglossini,Eufriesea,NA,ornata,"Mocsáry, 1896",large,6.8,27.49318,11.37611,14.64175,21.2831,MPEG,"Bolivia (El Beni); Brazil (Amazonas, Bahia, Espírito Santo, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio de Janeiro); Colombia (Meta); Costa Rica; Ecuador; Panama; Peru (Loreto); Venezuela",no,carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
139,Apidae,Euglossini,Eufriesea,NA,pulchra,"Smith, 1854",large,5.7,15.54166,6.56738,9.8938,13.26925,MPEG,"Bolivia; Brazil (Amapá, Amazonas, Pará, São Paulo); Colombia(Amazonas); Costa Rica; French Guiana; Guyana; Panama; Peru (Huánuco); Suriname; Trinidad and Tobago; Venezuela (Amazonas, Bolívar)",no,carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
140,Apidae,Euglossini,Eufriesea,NA,superba,"Hoffmannsegg, 1817",large,5.6,14.64892,6.20364,9.49967,12.63474,MPEG,"Bolivia (Santa Cruz); Brazil (Amapá, Amazonas, Espírito Santo, Mato Grosso, Minas Gerais, Pará, Rondônia); Ecuador (Los Ríos); Mexico; Peru(Huánuco, Loreto)",no,carajas,no,Solitary,cavity,genus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
141,Apidae,Euglossini,Euglossa,Euglossa,amazonica,"Dressler, 1982",medium,3.1,1.87042,0.85449,2.30926,2.29716,MPEG,"Brazil (Amazonas, Pará); Colombia (Amazonas, Putumayo); Peru(Huánuco)",no,carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
142,Apidae,Euglossini,Euglossa,Euglossa,analis,"Westwood, 1840",medium,3.5,2.9399,1.3209,3.15086,3.34089,MPEG,"Bolivia; Brazil (Amazonas, Bahia, Espírito Santo, Minas Gerais, Pará); Colombia; French Guiana; Guyana; Panama; Peru (Amazonas)",yes,bocaina,no,Solitary,NA,NA,NA
143,Apidae,Euglossini,Euglossa,Euglossa,analis,"Westwood, 1840",medium,3.5,2.9399,1.3209,3.15086,3.34089,MPEG,"Bolivia; Brazil (Amazonas, Bahia, Espírito Santo, Minas Gerais, Pará); Colombia; French Guiana; Guyana; Panama; Peru (Amazonas)",yes,canaa dos carajas,no,Solitary,cavity,NA,NA
144,Apidae,Euglossini,Euglossa,Euglossa,avicula,"Dressler, 1982",medium,3.4,2.56247,1.15716,2.86697,2.98149,MPEG,Brazil (Espírito Santo),yes,carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
145,Apidae,Euglossini,Euglossa,Euglossa,azureoviridis,"Friese, 1930",medium,3.3,2.46122,1.11309,2.78864,2.88359,UFMG,Costa Rica (San José),yes,canaa dos carajas,no,Solitary,NA,NA,NA
146,Apidae,Euglossini,Euglossa,Euglossa,bidentata,"Dressler, 1982",medium,3.5,2.88374,1.29658,3.10937,3.28793,MPEG,"Brazil (Amazonas, Pará); Peru (Huánuco, Loreto); Venezuela(Bolívar)",no,carajas,no,Solitary,NA,NA,NA
147,Apidae,Euglossini,Euglossa,Euglossa,chlorina,"Dressler, 1982",medium,3.2,2.22046,1.00802,2.59819,2.6479,MPEG,Brazil (Espírito Santo); Colombia (Caquetá); Guyana; Venezuela,yes,carajas,no,Solitary,NA,NA,NA
148,Apidae,Euglossini,Euglossa,Euglossa,chlorina,"Dressler, 1982",medium,3.2,2.22046,1.00802,2.59819,2.6479,MPEG,Brazil (Espírito Santo); Colombia (Caquetá); Guyana; Venezuela,yes,canaa dos carajas,no,Solitary,NA,NA,NA
149,Apidae,Euglossini,Euglossa,Euglossa,cognata,"Moure, 1970",large,4,4.60823,2.03647,4.29106,4.84778,MPEG,"Brazil (Amazonas, Bahia, Espírito Santo, Minas Gerais, Pará, Rio de Janeiro); Ecuador; Honduras; Panama; Trinidad and Tobago",no,carajas,no,Solitary,NA,NA,NA
150,Apidae,Euglossini,Euglossa,Euglossa,cordata,"Linnaeus, 1758",medium,3.4,2.77368,1.24889,3.02733,3.18365,UFMG,"Brazil (Alagoas, Amapá, Amazonas, Bahia, Ceará, Espírito Santo, Goiás, Maranhão, Minas Gerais, Paraná, Paraíba, Pará, Pernambuco, Rio Grande do Sul, Rio de Janeiro, Sergipe, São Paulo); Colombia; Costa Rica (San José); Ecuador; French Guiana (Cayenne); Guatemala; Guyana; Honduras; Jamaica; Mexico (Chiapas, Oaxaca, Yucatan); Panama (Panamá); Paraguay; Suriname; Trinidad and Tobago; Venezuela",no,carajas,no,Solitary,cavity,species,"Garofalo, C. A. (1985) Social structure of Euglossa cordata nests (Hymenoptera: Apidae: Euglossini). Entomologia Generalis 11 (1/2): 77-83"
151,Apidae,Euglossini,Euglossa,Euglossa,deceptrix,"Moure, 1969",medium,3.3,2.51149,1.13497,2.82765,2.93228,MPEG,Honduras; Panama (Panamá),yes,carajas,no,Solitary,NA,NA,NA
152,Apidae,Euglossini,Euglossa,Euglossa,despecta,"Moure, 1968",medium,3.3,2.51149,1.13497,2.82765,2.93228,MPEG,Panama,yes,carajas,no,Solitary,NA,NA,NA
153,Apidae,Euglossini,Euglossa,Euglossa,fimbriata,"Moure, 1969",medium,3.4,2.56247,1.15716,2.86697,2.98149,MPEG,"Bolivia (Santa Cruz); Brazil (Bahia, Espírito Santo, Maranhão, Minas Gerais, Rio de Janeiro, São Paulo)",yes,carajas,no,Solitary,cavity,species,"Augusto, S. C. & Garofalo, C. A. (2009) Bionomics and sociological aspects of Euglossa fimbriata (Apidae, Euglossini). Genet. Mol. Res. 8 (2): 525-538."
154,Apidae,Euglossini,Euglossa,Euglossa,gaianii,"Dressler, 1982",medium,3.4,2.6666,1.20242,2.94653,3.08151,MPEG,"Brazil (Amazonas, Bahia, Espírito Santo, Maranhão, Minas Gerais, Pará); French Guiana (Kourou); Peru (Huánuco); Trinidad and Tobago; Venezuela(Aragua)",no,carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
155,Apidae,Euglossini,Euglossa,Euglossa,hemichlora,"Cockerell, 1917",medium,3.4,2.6666,1.20242,2.94653,3.08151,UFMG,Costa Rica (Heredia); Ecuador; Honduras; Mexico (Veracruz); Panama,yes,canaa dos carajas,no,Solitary,cavity,species,"Parra-H, A. & Nates-Parra, G. (2009) La arquitectura de nidos de Euglossa (Euglossa) hemichlora (Hymenoptera: Apidae: Euglossini). Revista Colombiana de Entomología 35 (2): 283-285."
156,Apidae,Euglossini,Euglossa,Euglossa,hemichlora,"Cockerell, 1917",medium,3.4,2.6666,1.20242,2.94653,3.08151,UFMG,Costa Rica (Heredia); Ecuador; Honduras; Mexico (Veracruz); Panama,yes,nova lima,no,Solitary,cavity,species,"Parra-H, A. & Nates-Parra, G. (2009) La arquitectura de nidos de Euglossa (Euglossa) hemichlora (Hymenoptera: Apidae: Euglossini). Revista Colombiana de Entomología 35 (2): 283-285."
157,Apidae,Euglossini,Euglossa,Euglossa,heterosticta,"Moure, 1968",medium,3.3,2.41906,1.09472,2.75572,2.84261,MPEG,Costa Rica; Honduras; Panama (Panamá),yes,carajas,no,Solitary,exposed,species,"Rasmussen, C.; Sánchez, E, & Skov, C. (2015) Description of a nest of Euglossa heterosticta from Peru, with taxonomic notes (Hymenoptera: Apidae). Journal of Melittology 55: 1-8."
158,Apidae,Euglossini,Euglossa,Euglossa,iopyrrha,"Dressler, 1982",medium,3.7,3.48052,1.5541,3.53839,3.84223,MPEG,"Brazil (Amazonas, Pará)",yes,carajas,no,Solitary,NA,NA,NA
159,Apidae,Euglossini,Euglossa,Euglossa,leucotricha,"Rebêlo & Moure, 1996",medium,3.5,2.9399,1.3209,3.15086,3.34089,UFMG,"Brazil (Espírito Santo, Minas Gerais, São Paulo)",no,nova lima,no,Solitary,NA,NA,NA
160,Apidae,Euglossini,Euglossa,Euglossa,liopoda,"Dressler, 1982",medium,3.3,2.46122,1.11309,2.78864,2.88359,MPEG,"Brazil (Amazonas, Maranhão, Pará); Colombia (Caquetá); Peru(Loreto); Venezuela (Bolívar)",no,carajas,no,Solitary,NA,NA,NA
161,Apidae,Euglossini,Euglossa,Euglossa,liopoda,"Dressler, 1982",medium,3.3,2.46122,1.11309,2.78864,2.88359,MPEG,"Brazil (Amazonas, Maranhão, Pará); Colombia (Caquetá); Peru(Loreto); Venezuela (Bolívar)",no,canaa dos carajas,no,Solitary,NA,NA,NA
162,Apidae,Euglossini,Euglossa,Euglossa,magnipes,"Dressler, 1982",medium,3.3,2.31468,1.04918,2.67345,2.74063,UFMG,"Brazil (Pará); Guyana (Pomeroon-Supenaarn); Peru (Huánuco, Loreto, San Martín); Venezuela (Bolívar)",no,canaa dos carajas,no,Solitary,NA,NA,NA
163,Apidae,Euglossini,Euglossa,Euglossa,magnipes,"Dressler, 1982",medium,3.3,2.31468,1.04918,2.67345,2.74063,MPEG,"Brazil (Pará); Guyana (Pomeroon-Supenaarn); Peru (Huánuco, Loreto, San Martín); Venezuela (Bolívar)",no,bocaina,no,Solitary,NA,NA,NA
164,Apidae,Euglossini,Euglossa,Euglossa,magnipes,"Dressler, 1982",medium,3.3,2.31468,1.04918,2.67345,2.74063,MPEG,"Brazil (Pará); Guyana (Pomeroon-Supenaarn); Peru (Huánuco, Loreto, San Martín); Venezuela (Bolívar)",no,carajas,no,Solitary,NA,NA,NA
165,Apidae,Euglossini,Euglossa,Euglossa,melanotricha,"Moure, 1967",medium,3.6,3.23232,1.44721,3.36301,3.61386,UFMG,"Bolivia (Santa Cruz); Brazil (Bahia, Goiás, Maranhão, Mato Grosso, Minas Gerais, São Paulo)",no,nova lima,no,Solitary,soil,species,"Augusto, S. C. & Garofalo, C. A. (2007) Nidificação de Euglossa (Euglossa) melanotricha Moure (Hymenoptera: Apidae) no Solo do Cerrado. Neotropical Entomology 36 (1): 153-156."
166,Apidae,Euglossini,Euglossa,Euglossa,mixta,"Friese, 1899",medium,3.5,2.88374,1.29658,3.10937,3.28793,MPEG,"Bolivia; Brazil (Amazonas, Espírito Santo, Pará, Rio de Janeiro, São Paulo); Colombia; Costa Rica (Cartago, Puntarenas); Ecuador; Honduras; Mexico(Chiapas, Oaxaca, Veracruz); Panama (Chiriquí, Coclé, Panamá); Peru (Loreto)",no,bocaina,no,Solitary,NA,NA,NA
167,Apidae,Euglossini,Euglossa,Euglossa,mixta,"Friese, 1899",medium,3.5,2.88374,1.29658,3.10937,3.28793,MPEG,"Bolivia; Brazil (Amazonas, Espírito Santo, Pará, Rio de Janeiro, São Paulo); Colombia; Costa Rica (Cartago, Puntarenas); Ecuador; Honduras; Mexico(Chiapas, Oaxaca, Veracruz); Panama (Chiriquí, Coclé, Panamá); Peru (Loreto)",no,canaa dos carajas,no,Solitary,NA,NA,NA
168,Apidae,Euglossini,Euglossa,Euglossa,mixta,"Friese, 1899",medium,3.5,2.88374,1.29658,3.10937,3.28793,MPEG,"Bolivia; Brazil (Amazonas, Espírito Santo, Pará, Rio de Janeiro, São Paulo); Colombia; Costa Rica (Cartago, Puntarenas); Ecuador; Honduras; Mexico(Chiapas, Oaxaca, Veracruz); Panama (Chiriquí, Coclé, Panamá); Peru (Loreto)",no,carajas,no,Solitary,NA,NA,NA
169,Apidae,Euglossini,Euglossa,Euglossa,modestior,"Dressler, 1982",medium,3.3,2.41167,1.0915,2.74994,2.83542,MPEG,"Bolivia (El Beni); Brazil (Amazonas, Pará); Peru (Huánuco, Loreto); Suriname; Venezuela (Amazonas)",no,carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
170,Apidae,Euglossini,Euglossa,Euglossa,mourei,"Dressler, 1982",medium,3.3,2.41167,1.0915,2.74994,2.83542,MPEG,"Brazil (Amazonas); Colombia (Amazonas, Putumayo); Ecuador(Napo); Peru (Huánuco)",yes,carajas,no,Solitary,NA,NA,NA
171,Apidae,Euglossini,Euglossa,Euglossa,pleosticta,"Dressler, 1982",medium,3.3,2.36282,1.0702,2.71154,2.78777,MPEG,"Brazil (Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo)",yes,nova lima,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
172,Apidae,Euglossini,Euglossa,Euglossa,pleosticta,"Dressler, 1982",medium,3.3,2.36282,1.0702,2.71154,2.78777,MPEG,"Brazil (Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo)",yes,carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
173,Apidae,Euglossini,Euglossa,Euglossa,securigera,"Dressler, 1982",medium,3.4,2.55514,1.15397,2.86133,2.97443,MPEG,"Brazil (Bahia, Espírito Santo, Maranhão, Minas Gerais, São Paulo); Colombia; Venezuela",yes,canaa dos carajas,yes,Solitary,cavity,species,"Pinto, R. S.; Silva, A. G.; Rêgo, M. M. C. & Albuquerque, P. M. C. (2019) Pollen Analysis of the Post-Emergence Residue of Euglossa Bees (Apidae: Euglossini) Nesting in an Urban Fragment. Sociobiology, 66(1): 88-96. doi: 10.13102/sociobiology.v66i1.3434."
174,Apidae,Euglossini,Euglossa,Euglossa,securigera,"Dressler, 1982",medium,3.4,2.55514,1.15397,2.86133,2.97443,MPEG,"Brazil (Bahia, Espírito Santo, Maranhão, Minas Gerais, São Paulo); Colombia; Venezuela",yes,nova lima,yes,Solitary,cavity,species,"Pinto, R. S.; Silva, A. G.; Rêgo, M. M. C. & Albuquerque, P. M. C. (2019) Pollen Analysis of the Post-Emergence Residue of Euglossa Bees (Apidae: Euglossini) Nesting in an Urban Fragment. Sociobiology, 66(1): 88-96. doi: 10.13102/sociobiology.v66i1.3434."
175,Apidae,Euglossini,Euglossa,Euglossa,townsendi,"Cockerell, 1904",medium,3.1,2.04016,0.92906,2.45131,2.46854,MPEG,"Argentina; Brazil (Amazonas, Bahia, Espírito Santo, Minas Gerais, Paraná, Pará, Rio de Janeiro, São Paulo); Colombia; Mexico (Chiapas, San Luis Potosi, Veracruz); Trinidad and Tobago",no,bocaina,no,Solitary,cavity,species,"Augusto, S. C. & Garofalo, C. A. (2004) Nesting biology and social structure of Euglossa (Euglossa) townsendi Cockerell (Hymenoptera, Apidae, Euglossini). Insect. Soc. 51: 400–409."
176,Apidae,Euglossini,Euglossa,Euglossa,townsendi,"Cockerell, 1904",medium,3.1,2.04016,0.92906,2.45131,2.46854,MPEG,"Argentina; Brazil (Amazonas, Bahia, Espírito Santo, Minas Gerais, Paraná, Pará, Rio de Janeiro, São Paulo); Colombia; Mexico (Chiapas, San Luis Potosi, Veracruz); Trinidad and Tobago",no,canaa dos carajas,no,Solitary,cavity,species,"Augusto, S. C. & Garofalo, C. A. (2004) Nesting biology and social structure of Euglossa (Euglossa) townsendi Cockerell (Hymenoptera, Apidae, Euglossini). Insect. Soc. 51: 400–409."
177,Apidae,Euglossini,Euglossa,Euglossa,truncata,"Rebêlo & Moure, 1996",medium,3.7,3.48052,1.5541,3.53839,3.84223,UFMG,"Brazil (Bahia, Maranhão, Minas Gerais, Paraná, São Paulo)",no,nova lima,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
178,Apidae,Euglossini,Euglossa,Euglossa,variabilis,"Friese, 1899",medium,3.5,2.99683,1.34552,3.19266,3.39438,MPEG,"Brazil (Amapá, Amazonas, Bahia, Pará); Costa Rica (San José); French Guiana; Guyana; Honduras; Mexico (Veracruz); Panama; Venezuela",no,canaa dos carajas,no,Solitary,cavity,species,"Costa, C. C. F. & Gonçalves, R. B. (2019) What do we know about Neotropical trap-nesting bees? Synopsis about their net biology and taxonomy. Pap. Avulsos Zool.,59: e20195926. doi: 10.11606/1807-0205/2019.59.26."
