Id,Family,Tribe,Genus,Subgenus,"Specific epithet ",Scientific name authorship,Body size class,"ITDmeasured ",Mhd,Thd,Mfd,Mcd,Location of measured specimen,Known distribution,"New record ",Locality,"Crop pollinator ",Sociality,Nest location,Level,"Ref. "
40,Apidae,Bombini,Bombus,Fervidobombus,transversalis,"Olivier, 1789",large,4.4,6.15902,2.69287,5.2376,6.16436,MPEG,"Bolivia (Cochabamba, El Beni, La Paz, Santa Cruz); Brazil (Acre, Amapá, Amazonas, Mato Grosso, Pará, Rondônia); Colombia (Amazonas, Distrito Capital); Ecuador; French Guiana; Guyana; Peru (Amazonas, Huánuco, Junín, Loreto, Madre de Dios, Pasco, Ucayali); Suriname; Venezuela (Bolívar)",no,bocaina,yes,Eusocial,soil,species,"Oliveira, M. O.; Cavalcante, M. C.; Freitas, B. M. (2015) Nesting Behavior and Colony Description of the Neotropical Bombus (Thoracobombus) brevivillus in Northeastern Brazil. J Insect Behav 28: 297–302. DOI 10.1007/s10905-015-9502-8."
41,Apidae,Bombini,Bombus,Fervidobombus,transversalis,"Olivier, 1789",large,4.4,6.15902,2.69287,5.2376,6.16436,MPEG,"Bolivia (Cochabamba, El Beni, La Paz, Santa Cruz); Brazil (Acre, Amapá, Amazonas, Mato Grosso, Pará, Rondônia); Colombia (Amazonas, Distrito Capital); Ecuador; French Guiana; Guyana; Peru (Amazonas, Huánuco, Junín, Loreto, Madre de Dios, Pasco, Ucayali); Suriname; Venezuela (Bolívar)",no,parauapebas,yes,Eusocial,soil,species,"Oliveira, M. O.; Cavalcante, M. C.; Freitas, B. M. (2015) Nesting Behavior and Colony Description of the Neotropical Bombus (Thoracobombus) brevivillus in Northeastern Brazil. J Insect Behav 28: 297–302. DOI 10.1007/s10905-015-9502-8."
42,Apidae,Bombini,Bombus,Fervidobombus,transversalis,"Olivier, 1789",large,4.4,6.15902,2.69287,5.2376,6.16436,MPEG,"Bolivia (Cochabamba, El Beni, La Paz, Santa Cruz); Brazil (Acre, Amapá, Amazonas, Mato Grosso, Pará, Rondônia); Colombia (Amazonas, Distrito Capital); Ecuador; French Guiana; Guyana; Peru (Amazonas, Huánuco, Junín, Loreto, Madre de Dios, Pasco, Ucayali); Suriname; Venezuela (Bolívar)",no,canaa dos carajas,yes,Eusocial,soil,species,"Oliveira, M. O.; Cavalcante, M. C.; Freitas, B. M. (2015) Nesting Behavior and Colony Description of the Neotropical Bombus (Thoracobombus) brevivillus in Northeastern Brazil. J Insect Behav 28: 297–302. DOI 10.1007/s10905-015-9502-8."
43,Apidae,Centridini,Centris,Aphemisia,plumipes,"Smith, 1854",large,5.9,16.66262,7.02302,10.3788,14.05719,UFMG,"Bolivia; Brazil (Amazonas, Pará, Rondônia); Colombia; Ecuador; Guyana; Panama; Peru; Venezuela",no,canaa dos carajas,no,Solitary,soil,subgenus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
44,Apidae,Centridini,Centris,Aphemisia,plumipes,"Smith, 1854",large,5.9,16.66262,7.02302,10.3788,14.05719,UFMG,"Bolivia; Brazil (Amazonas, Pará, Rondônia); Colombia; Ecuador; Guyana; Panama; Peru; Venezuela",no,carajas,no,Solitary,soil,subgenus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
45,Apidae,Centridini,Centris,Aphemisia,quadrimaculata,"Packard, 1869",large,6.1,18.65533,7.83026,11.21655,15.43596,UFMG,"Bolivia; Brazil (Amapá, Amazonas, Pará, Piauí); Colombia; Guyana; Peru (Loreto); Venezuela",yes,canaa dos carajas,no,Solitary,soil,subgenus,"Michener, C. D. (2007). The Bees of the world. 2nd edition. The John Hopkins University Press, Baltimore, p. 953."
46,Apidae,Centridini,Centris,Centris,aenea,"Lepeletier, 1841",large,4.7,8.15962,3.5308,6.35441,7.78162,MPEG,"Brazil (Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio Grande do Norte, São Paulo); French Guiana; Guyana; Mexico; Venezuela",no,bocaina,yes,Solitary,soil,species,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
47,Apidae,Centridini,Centris,Centris,aenea,"Lepeletier, 1841",large,4.7,8.15962,3.5308,6.35441,7.78162,MPEG,"Brazil (Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio Grande do Norte, São Paulo); French Guiana; Guyana; Mexico; Venezuela",no,canaa dos carajas,yes,Solitary,soil,species,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
48,Apidae,Centridini,Centris,Centris,aenea,"Lepeletier, 1841",large,4.7,8.15962,3.5308,6.35441,7.78162,MPEG,"Brazil (Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio Grande do Norte, São Paulo); French Guiana; Guyana; Mexico; Venezuela",no,carajas,yes,Solitary,soil,species,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
49,Apidae,Centridini,Centris,Centris,aenea,"Lepeletier, 1841",large,4.7,8.15962,3.5308,6.35441,7.78162,MPEG,"Brazil (Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Minas Gerais, Pará, Rio Grande do Norte, São Paulo); French Guiana; Guyana; Mexico; Venezuela",no,nova lima,yes,Solitary,soil,species,"Aguiar, C. M. L. & Gaglianone, M. C. (2003) Nesting Biology of Centris (Centris) aenea Lepeletier (Hymenoptera, Apidae, Centridini). Rev. Bras. Zoo. 20 (4): 60-606."
